code,date,crd_remn_rt,crd_remn_chg_5d,prm_net_5d_ratio,prm_net_5d_raw
082850,20201109,1.18,33.530321233480606,,
082850,20201110,1.06,1.7002323861613267,,
082850,20201111,1.9,85.77629223285628,,
082850,20201202,0.05,-35.76956575836755,,
082850,20201203,0.05,-36.256160087610134,,
082850,20240722,4.75,11.49669669611586,2.169994511955393e-09,418.0
082850,20240729,5.78,21.59146203425908,1.825707265206034e-09,31.0
082850,20240730,5.98,-10.556091827563673,1.0334639353229051e-10,31.0
082920,20191031,0.77,-22.58160659180426,,
082920,20200109,0.63,-25.099575400630048,,
082920,20200115,0.61,-1.2924643133783387,,
082920,20200116,0.57,-9.422728070688747,,
082920,20200117,0.65,4.008365284071114,,
082920,20200120,0.67,8.604789087404562,,
082920,20200122,0.7,14.010149249269443,,
082920,20200123,0.67,18.14342243398208,,
082920,20200128,0.68,3.0747319034852616,,
082920,20200602,0.95,-7.397898921826873,,
082920,20200603,1.01,-1.2157384835427831,,
082920,20230324,1.38,48.65797089957577,3.7224435245242554e-08,3353.0
082920,20250106,1.52,-13.937818965858295,5.838919769755585e-07,4580.0
082920,20250121,1.7,0.9566403842036886,2.3456568731258228e-08,265.0
082920,20250122,1.8,5.7452765600890965,1.6870349558831288e-08,265.0
082920,20250616,1.4,3.8394471608654834,4.245697997016885e-07,3110.0
082920,20250805,1.52,1.5765667622425816,8.217394817663581e-07,2914.0
082920,20250807,1.54,1.7856067535908515,4.837578376726246e-07,4275.0
082920,20250811,1.53,-0.5670151270119494,1.307015389198818e-06,3493.0
082920,20251209,1.65,-1.271258028211475,4.655166083911528e-07,10897.0
082920,20260403,1.68,-15.818488198858615,6.638678364659038e-07,26254.0
082920,20260410,1.3,-22.48932340978428,7.722788498535982e-07,38608.0
082920,20260415,1.77,53.13944650516591,3.042143347098805e-07,24502.0
082920,20260416,1.73,34.160454197091774,2.112200963766686e-07,23348.0
082920,20260511,0.92,-11.756863041987897,2.783885528155853e-07,15646.0
083310,20200213,4.22,112.60905037472723,,
083310,20200214,4.68,133.6692511310943,,
083310,20200219,4.72,25.024214211395556,,
083310,20200708,7.11,40.226158296235305,,
083310,20200729,6.69,3.238480084213391,,
083310,20200730,6.79,-5.2996841546474,,
083310,20200914,9.65,2.339510016020263,,
083310,20230412,1.72,-2.4776211283203398,1.4042357799785274e-07,1828.0
083310,20230511,2.26,-8.925336001514372,2.7711669125504315e-07,665.0
083310,20230519,2.04,-6.875824546691078,2.625381977921718e-07,2620.0
083310,20230601,1.94,-2.8327254184581374,8.438174505337504e-07,1788.0
083310,20230602,1.96,-2.325458338091002,8.0075458986168e-07,1894.0
083310,20230704,2.21,-0.32116721921241487,1.0068551138871445e-07,1251.0
